融资买入额,融资余额,融券卖出量,融券余量,融券余额,融资融券余额
362.04,7087.24,0.91,24.46,452.18,7539.43
407.18,7077.06,0.86,24.55,453.13,7530.2
376.17,7062.56,0.84,24.31,447.74,7510.31
339.16,7031.32,0.89,24.11,441.31,7472.63
329.37,7044.78,0.76,23.9,437.84,7482.62
413.07,7048.42,0.88,23.76,434.08,7482.5
482.52,7053.76,1.02,23.61,441.89,7495.66
572.53,7028.01,0.85,23.28,442.73,7470.74
450.36,6982.21,0.76,23.31,432.92,7415.14
452.87,6971.61,0.72,23.43,431.36,7402.97
334.52,6933.89,0.77,23.49,424.05,7357.95
355.68,6911.26,1.03,23.34,416.12,7327.39
349.4,6895.95,0.8,22.82,402.7,7298.66
383.6,6882.96,0.92,22.54,390.01,7272.98
364.23,6922.45,0.72,22.16,390.6,7313.05
340.68,6907.1,0.83,21.95,383.73,7290.84
256.87,6888.09,0.65,21.48,372.02,7260.11
269.95,6890.43,0.84,21.48,368.44,7258.87
302.78,6907.01,0.61,21.21,362.85,7269.87
304.64,6960.54,0.58,21.34,368.37,7328.92
301.55,6949.46,0.65,21.28,369.8,7319.27
317.19,6962.14,0.53,21.09,367.39,7329.54
318.08,6939.51,0.85,20.96,359.35,7298.86
306.15,6936.89,0.96,20.64,358.22,7295.12
366.55,6964.74,1.07,20.26,356.49,7321.23
400.35,6948.7,1.14,19.69,338.16,7286.87
460.0,6905.96,1.01,18.94,333.36,7239.32
544.57,6849.56,0.69,18.35,318.81,7168.38
375.24,6768.59,0.52,18.06,304.42,7073.02
209.47,6699.72,0.75,18.11,296.71,6996.43
225.76,6784.02,0.67,18.28,301.72,7085.75
205.99,6807.81,0.79,18.53,301.67,7109.48
237.27,6833.98,0.87,18.41,297.26,7131.25
295.58,6858.03,0.75,18.47,295.21,7153.24
318.89,6876.46,0.9,18.47,295.71,7172.18
309.7,6862.46,0.89,18.17,288.79,7151.26
350.79,6872.89,0.88,17.99,286.62,7159.52
374.33,6855.14,0.65,17.72,284.83,7139.98
349.78,6855.3,0.87,17.8,283.49,7138.79
304.32,6848.28,0.72,17.79,277.4,7125.68
336.1,6849.68,1.03,17.73,274.02,7123.71
331.18,6841.46,0.75,17.24,266.95,7108.42
289.78,6832.0,0.79,16.98,261.73,7093.74
349.47,6853.32,1.03,16.88,256.06,7109.39
472.19,6917.46,0.92,16.65,256.45,7173.92
432.51,6935.54,0.88,16.53,260.93,7196.48
504.7,6941.5,0.97,16.43,258.55,7200.05
399.02,6944.14,0.83,16.14,262.52,7206.66
463.98,6954.97,0.8,16.17,266.89,7221.87
527.5,6949.26,1.18,15.96,268.42,7217.69
513.1,4725.52,0.38,2.23,24.7,4750.22
449.47,4681.63,0.39,2.11,21.84,4703.48
528.41,4686.27,0.31,1.97,19.81,4706.09
553.89,4654.18,0.05,1.81,17.35,4671.54
554.57,4618.53,0.07,1.85,17.92,4636.45
490.08,4557.38,0.06,1.86,17.36,4574.75
476.22,4541.13,0.06,1.87,16.92,4558.05
245.62,4535.79,0.01,1.96,17.19,4552.99
444.74,4585.62,0.23,2.11,21.04,4606.67
431.55,4679.52,0.3,2.55,26.63,4706.15
398.25,4681.37,0.24,2.66,27.48,4708.85
428.81,4687.33,0.56,2.86,30.17,4717.5
337.61,4656.6,0.25,2.71,29.05,4685.66
355.06,4673.69,0.31,2.88,30.6,4704.3
366.13,4671.66,0.4,3.03,32.34,4704.01
425.74,4652.94,0.49,3.14,33.44,4686.38
408.14,4646.49,0.42,3.05,33.39,4679.88
370.81,4613.2,0.36,3.12,33.03,4646.24
421.56,4614.64,0.47,3.29,34.45,4649.09
464.88,4594.28,0.91,3.27,32.85,4627.13
430.04,4583.05,0.64,2.91,33.72,4616.78
485.97,4549.72,0.83,2.99,32.5,4582.22
382.55,4495.11,0.37,2.57,30.25,4525.36
428.73,4492.69,0.46,2.61,31.16,4523.85
282.46,4464.49,0.37,2.51,28.87,4493.36
313.3,4465.58,0.5,2.6,29.95,4495.54
356.23,4446.24,0.42,2.55,28.89,4475.14
305.86,4452.84,0.46,2.57,29.68,4482.53
302.36,4433.11,0.47,2.5,29.26,4462.38
260.65,4421.9,0.38,2.36,28.33,4450.24
284.0,4406.97,0.33,2.3,27.29,4434.26
308.99,4395.95,0.36,2.34,28.25,4424.21
331.28,4405.71,0.43,2.34,28.27,4433.99
410.43,4385.11,0.39,2.24,27.61,4412.72
469.3,4339.66,0.4,2.2,27.5,4367.17
391.66,4288.51,0.44,2.17,26.47,4314.98
296.36,4234.22,0.32,2.06,25.09,4259.32
251.9,4234.57,0.29,2.09,25.04,4259.61
259.35,4219.16,0.33,2.08,24.61,4243.78
259.82,4206.31,0.35,2.13,25.67,4231.99
266.84,4188.19,0.37,2.13,25.03,4213.23
229.84,4162.05,0.26,2.05,25.11,4187.17
243.18,4158.95,0.41,2.11,25.14,4184.1
187.17,4139.2,0.35,2.04,23.99,4163.2
174.23,4137.65,0.27,2.0,24.19,4161.84
166.22,4125.74,0.24,2.15,24.71,4150.46
161.28,4114.07,0.23,2.17,24.53,4138.61
152.21,4119.37,0.25,2.23,25.47,4144.84
180.75,4122.3,0.26,2.24,25.76,4148.07
163.22,4109.31,0.25,2.27,26.31,4135.63
190.75,4121.04,0.32,2.37,26.35,4147.4
234.77,4128.75,0.36,2.39,26.61,4155.36
172.02,4152.1,0.28,2.41,26.99,4179.09
228.36,4154.46,0.29,2.46,27.78,4182.25
226.27,4150.96,0.28,2.44,27.88,4178.85
176.99,4130.96,0.3,2.44,27.07,4158.03
198.64,4124.14,0.35,2.38,26.63,4150.78
198.63,4142.03,0.39,2.4,26.98,4169.02
170.16,4129.48,0.22,2.32,26.23,4155.71
177.7,4125.91,0.36,2.39,26.59,4152.51
209.48,4127.81,0.28,2.36,26.53,4154.34
237.15,4129.5,0.28,2.4,27.55,4157.05
206.59,4138.97,0.35,2.53,28.3,4167.28
229.87,4128.42,0.29,2.46,27.87,4156.29
240.3,4126.77,0.3,2.47,28.65,4155.43
246.67,4121.08,0.35,2.51,28.5,4149.59
218.47,4105.24,0.37,2.49,28.03,4133.28
210.18,4102.07,0.31,2.51,27.3,4129.38
224.12,4109.5,0.27,2.44,27.0,4136.5
287.62,4107.25,0.45,2.47,27.38,4134.63
291.17,4108.63,0.35,2.25,26.04,4134.68
207.27,4074.49,0.29,2.2,25.3,4099.8
167.64,4069.51,0.25,2.24,24.62,4094.14
177.65,4066.43,0.28,2.2,24.01,4090.44
172.33,4060.94,0.31,2.17,24.44,4085.38
159.75,4057.19,0.28,2.12,24.07,4081.26
189.36,4057.39,0.26,2.08,24.11,4081.51
174.11,4072.82,0.27,2.09,24.77,4097.6
202.76,4064.67,0.26,2.03,24.66,4089.34
223.04,4057.53,0.29,2.03,25.46,4083.0
286.81,4065.87,0.31,2.0,25.63,4091.51
225.69,4033.76,0.27,1.9,23.9,4057.67
222.68,4043.82,0.32,1.91,23.79,4067.61
162.84,4021.71,0.23,1.81,21.97,4043.68
183.8,4014.56,0.3,1.82,21.74,4036.31
145.5,3984.87,0.15,1.64,19.61,4004.49
188.28,4038.59,0.24,1.77,21.75,4060.35
252.72,4062.77,0.29,1.88,22.94,4085.72
272.12,4090.03,0.32,1.9,24.03,4114.07
310.39,4102.74,0.29,1.87,24.23,4126.97
272.96,4096.39,0.26,1.84,23.47,4119.87
273.18,4076.81,0.28,1.83,23.79,4100.61
257.32,4088.47,0.35,1.91,24.59,4113.06
237.49,4071.84,0.22,1.76,23.08,4094.93
289.81,4062.23,0.32,1.83,22.99,4085.22
318.84,4056.43,0.21,1.76,22.56,4078.99
261.35,4008.81,0.21,1.76,22.3,4031.11
349.21,4028.86,0.37,1.87,22.61,4051.48
406.8,4007.71,0.28,1.76,22.32,4030.03
99.86,2835.45,0.18,1.03,10.71,2846.17
90.87,2848.57,0.15,1.05,10.29,2858.87
